CardNo,Password,Name,Address,Phone
N12345001,xxxx,陳冠希,台北市基隆路四段43號,0922123456
N12345002,xxxx,張凱迪,台北市基隆路四段43號,0922123457
N12345003,xxxx,餘思明,台北市基隆路四段43號,0922123458
N12345004,xxxx,蔡煜章,台北市基隆路四段43號,0922123459
N12345005,xxxx,黃瑞竣,台北市基隆路四段43號,0922123460
N12345006,xxxx,吳柏翰,台北市基隆路四段43號,0922123461
N12345007,xxxx,宋鴻邑,台北市基隆路四段43號,0922123462
N12345008,xxxx,蕭力元,台北市基隆路四段43號,0922123463
N12345009,xxxx,吳俊賢,台北市基隆路四段43號,0922123464
N12345010,xxxx,黃玉龍,台北市基隆路四段43號,0922123465
N12345011,xxxx,吳承翰,台北市基隆路四段43號,0922123466
N12345012,xxxx,余浩平,台北市基隆路四段43號,0922123467
N12345013,xxxx,吳柏欣,台北市基隆路四段43號,0922123468
N12345014,xxxx,林宏學,台北市基隆路四段43號,0922123469
N12345015,xxxx,張新毅,台北市基隆路四段43號,0922123470
N12345016,xxxx,楊凱翔,台北市基隆路四段43號,0922123471
N12345017,xxxx,徐紹恒,台北市基隆路四段43號,0922123472
N12345018,xxxx,詹岳錡,台北市基隆路四段43號,0922123473
N12345019,xxxx,劉宏麟,台北市基隆路四段43號,0922123474
N12345020,xxxx,邱柏盛,台北市基隆路四段43號,0922123475
N12345021,xxxx,張敬宗,台北市基隆路四段43號,0922123476
N12345022,xxxx,江浩群,台北市基隆路四段43號,0922123567
N12345023,xxxx,馬小九,台北市重慶南路一段255號,0922123477
M32107001,xxxx,韋小寶,武俠巿無賴路101號,9123456789
M32107002,xxxx,東方不敗,武俠巿武功一路123號,9123456790
M32107003,xxxx,獨孤求敗,武俠巿大俠路1號,9123456791
M32107004,xxxx,令狐沖,武俠巿浪子路1號,9123456792
M32107005,xxxx,任盈盈,武俠巿聖姑路1-1號,9123456793
M32107006,xxxx,岳不群,武俠巿偽君子路小人巷1號,9123456794
H21345001,xxxx,孫中山,古人巿民國1號,8123456789
H21345002,xxxx,蔣介石,古人巿民國5巷11弄7號,8123456790
H21345003,xxxx,毛澤東,古人巿老共路1號,8123456791
H21345004,xxxx,鄧小平,古人巿老共路3號,8123456792
H21345005,xxxx,曾國藩,古人巿大清路1234號,8123456793
F52314001,xxxx,"Clinton, Bill","2145 President Bluv., Washington, DC, USA",15252314763
F52314002,xxxx,"Bush, George W.","3274 President Road, Dallas, Tx, USA",16037218940
F52314003,xxxx,"Washington, George","1001 Late President Road, Washington, DC, USA",17045123421
F52314004,xxxx,"Lincoln, Abraham","1016 Late President Road, Washington, DC USA",17045127593
F52314005,xxxx,"McArthur, Douglas","3 5 Star General Bluv., Washington, DC, USA",17047643999
F52314006,xxxx,"Obama, Barack","1 Pensovalia Bluv., Washington, DC. UDA",17047688888
